codPostalOcurrencia,año,mes,cant_codpostal
01013000,2022.0,8,1
01013000,2022.0,9,3
01013000,2022.0,10,4
01013000,2022.0,12,4
01013000,2023.0,1,2
01013000,2023.0,2,3
01013000,2023.0,4,1
01014000,2022.0,1,17
01014000,2022.0,2,3
01014000,2022.0,3,2
01014000,2022.0,4,4
01014000,2022.0,5,1
01014000,2022.0,6,6
01014000,2022.0,7,1
01014000,2022.0,8,3
01014000,2022.0,9,1
01014000,2022.0,10,2
01014000,2022.0,11,3
01014000,2022.0,12,4
01014000,2023.0,1,3
01014000,2023.0,2,5
01014000,2023.0,3,2
01015000,2022.0,1,10
01015000,2022.0,2,5
01015000,2022.0,4,1
01015000,2022.0,5,2
01015000,2022.0,6,2
01015000,2022.0,7,2
01015000,2022.0,8,8
01015000,2022.0,9,6
01015000,2022.0,10,3
01015000,2022.0,11,2
01015000,2022.0,12,1
01015000,2023.0,1,2
01015000,2023.0,2,4
01015000,2023.0,3,4
01015000,2023.0,4,1
01016000,2022.0,1,3
01016000,2022.0,2,3
01016000,2022.0,3,2
01016000,2022.0,4,1
01016000,2022.0,5,3
01016000,2022.0,6,3
01016000,2022.0,7,1
01016000,2022.0,8,7
01016000,2022.0,9,3
01016000,2022.0,10,1
01016000,2022.0,11,1
01016000,2022.0,12,2
01016000,2023.0,1,3
01016000,2023.0,2,1
01016000,2023.0,3,1
01016000,2023.0,4,1
01017000,2022.0,1,10
01017000,2022.0,2,2
01017000,2022.0,3,6
01017000,2022.0,4,2
01017000,2022.0,5,1
01017000,2022.0,6,3
01017000,2022.0,7,5
01017000,2022.0,8,5
01017000,2022.0,9,1
01017000,2022.0,10,3
01017000,2022.0,11,9
01017000,2022.0,12,6
01017000,2023.0,1,3
01017000,2023.0,2,2
01017000,2023.0,3,5
01017000,2023.0,4,1
01018000,2022.0,1,4
01018000,2022.0,2,2
01018000,2022.0,3,2
01018000,2022.0,4,3
01018000,2022.0,5,5
01018000,2022.0,6,3
01018000,2022.0,7,3
01018000,2022.0,8,4
01018000,2022.0,9,5
01018000,2022.0,10,4
01018000,2022.0,11,3
01018000,2022.0,12,4
01018000,2023.0,1,3
01018000,2023.0,2,8
01018000,2023.0,3,6
01018000,2023.0,4,2
01019000,2022.0,1,1
01019000,2022.0,2,6
01019000,2022.0,3,6
01019000,2022.0,4,2
01019000,2022.0,5,4
01019000,2022.0,6,2
01019000,2022.0,7,3
01019000,2022.0,8,2
01019000,2022.0,9,5
01019000,2022.0,11,2
01019000,2022.0,12,2
01019000,2023.0,1,3
01019000,2023.0,2,1
01019000,2023.0,3,2
01019000,2023.0,4,1
01020000,2022.0,1,5
01020000,2022.0,2,1
01020000,2022.0,3,7
01020000,2022.0,4,2
01020000,2022.0,5,6
01020000,2022.0,6,4
01020000,2022.0,7,4
01020000,2022.0,8,2
01020000,2022.0,9,5
01020000,2022.0,10,4
01020000,2022.0,11,5
01020000,2023.0,1,2
01020000,2023.0,2,7
01020000,2023.0,3,10
01021000,2022.0,1,2
01021000,2022.0,3,1
01021000,2022.0,4,1
01021000,2022.0,5,1
01021000,2022.0,6,2
01021000,2022.0,7,2
01021000,2022.0,8,5
01021000,2022.0,9,3
01021000,2022.0,10,1
01021000,2022.0,12,2
01021000,2023.0,1,3
01021000,2023.0,2,1
01021000,2023.0,3,1
01021000,2023.0,4,1
01022000,2022.0,1,4
01022000,2022.0,2,4
01022000,2022.0,3,4
01022000,2022.0,4,5
01022000,2022.0,5,4
01022000,2022.0,6,8
01022000,2022.0,7,5
01022000,2022.0,8,10
01022000,2022.0,9,10
01022000,2022.0,10,13
01022000,2022.0,11,4
01022000,2022.0,12,3
01022000,2023.0,1,9
01022000,2023.0,2,12
01022000,2023.0,3,5
01022000,2023.0,4,2
01023000,2022.0,1,4
01023000,2022.0,2,3
01023000,2022.0,3,3
01023000,2022.0,4,3
01023000,2022.0,5,2
01023000,2022.0,6,3
01023000,2022.0,7,4
01023000,2022.0,8,2
01023000,2022.0,9,1
01023000,2022.0,10,4
01023000,2022.0,11,2
01023000,2022.0,12,2
01023000,2023.0,1,4
01023000,2023.0,2,1
01023000,2023.0,3,4
01024000,2022.0,1,1
01024000,2022.0,2,1
01024000,2022.0,3,9
01024000,2022.0,4,1
01024000,2022.0,5,1
01024000,2022.0,6,2
01024000,2022.0,7,2
01024000,2022.0,8,3
01024000,2022.0,9,3
01024000,2022.0,11,3
01024000,2023.0,1,3
01024000,2023.0,2,1
01024000,2023.0,3,1
01024000,2023.0,4,1
01025000,2022.0,1,7
01025000,2022.0,3,3
01025000,2022.0,4,2
01025000,2022.0,5,1
01025000,2022.0,6,2
01025000,2022.0,7,2
01025000,2022.0,8,1
01025000,2022.0,9,6
01025000,2022.0,10,1
01025000,2022.0,11,1
01025000,2022.0,12,1
01025000,2023.0,1,1
01025000,2023.0,2,2
01025000,2023.0,4,3
01026000,2022.0,1,6
01026000,2022.0,2,6
01026000,2022.0,3,2
01026000,2022.0,4,2
01026000,2022.0,5,1
01026000,2022.0,6,5
01026000,2022.0,7,2
01026000,2022.0,9,4
01026000,2022.0,10,1
01026000,2022.0,11,1
01026000,2022.0,12,2
01026000,2023.0,2,2
01026000,2023.0,3,1
01026000,2023.0,4,1
01027000,2022.0,1,4
01027000,2022.0,3,1
01027000,2022.0,5,1
01027000,2022.0,9,1
01027000,2022.0,10,1
01028000,2022.0,1,6
01028000,2022.0,2,2
01028000,2022.0,3,6
01028000,2022.0,4,2
01028000,2022.0,6,2
01028000,2022.0,7,1
01028000,2022.0,8,5
01028000,2022.0,9,3
01028000,2022.0,10,1
01028000,2022.0,11,3
01028000,2022.0,12,1
01028000,2023.0,1,1
01029000,2022.0,1,1
01029000,2022.0,2,1
01029000,2022.0,3,1
01029000,2022.0,4,1
01029000,2022.0,5,1
01029000,2022.0,6,3
01029000,2022.0,9,2
01029000,2022.0,10,3
01029000,2022.0,11,1
01029000,2023.0,1,1
01029000,2023.0,3,4
01030000,2022.0,2,1
01030000,2022.0,4,1
01030000,2022.0,5,2
01030000,2022.0,6,2
01030000,2022.0,7,1
01030000,2022.0,8,2
01030000,2022.0,9,2
01030000,2022.0,11,1
01030000,2022.0,12,2
01030000,2023.0,4,1
01031000,2022.0,1,4
01031000,2022.0,3,1
01031000,2022.0,4,5
01031000,2022.0,5,3
01031000,2022.0,6,3
01031000,2022.0,7,5
01031000,2022.0,8,3
01031000,2022.0,9,7
01031000,2022.0,10,3
01031000,2022.0,11,1
01031000,2022.0,12,1
01031000,2023.0,1,4
01031000,2023.0,2,1
01031000,2023.0,3,6
01031000,2023.0,4,1
01032000,2022.0,1,8
01032000,2022.0,2,2
01032000,2022.0,3,7
01032000,2022.0,4,4
01032000,2022.0,5,9
01032000,2022.0,6,12
01032000,2022.0,7,6
01032000,2022.0,8,11
01032000,2022.0,9,14
01032000,2022.0,10,7
01032000,2022.0,11,7
01032000,2022.0,12,8
01032000,2023.0,1,5
01032000,2023.0,2,3
01032000,2023.0,3,6
01032000,2023.0,4,6
01033000,2022.0,1,165
01033000,2022.0,2,20
01033000,2022.0,3,15
01033000,2022.0,4,6
01033000,2022.0,5,25
01033000,2022.0,6,21
01033000,2022.0,7,37
01033000,2022.0,8,27
01033000,2022.0,9,12
01033000,2022.0,10,16
01033000,2022.0,11,16
01033000,2022.0,12,46
01033000,2023.0,1,18
01033000,2023.0,2,11
01033000,2023.0,3,20
01033000,2023.0,4,5
01034000,2022.0,1,9
01034000,2022.0,2,2
01034000,2022.0,3,4
01034000,2022.0,4,5
01034000,2022.0,5,5
01034000,2022.0,6,2
01034000,2022.0,7,2
01034000,2022.0,8,4
01034000,2022.0,9,3
01034000,2022.0,10,4
01034000,2022.0,11,7
01034000,2022.0,12,4
01034000,2023.0,1,3
01034000,2023.0,2,5
01034000,2023.0,3,6
01035000,2022.0,1,15
01035000,2022.0,2,9
01035000,2022.0,3,5
01035000,2022.0,4,6
01035000,2022.0,5,16
01035000,2022.0,6,12
01035000,2022.0,7,8
01035000,2022.0,8,9
01035000,2022.0,9,11
01035000,2022.0,10,14
01035000,2022.0,11,13
01035000,2022.0,12,17
01035000,2023.0,1,8
01035000,2023.0,2,5
01035000,2023.0,3,11
01035000,2023.0,4,4
01036000,2022.0,1,8
01036000,2022.0,2,5
01036000,2022.0,3,5
01036000,2022.0,4,2
01036000,2022.0,5,4
01036000,2022.0,6,3
01036000,2022.0,7,3
01036000,2022.0,8,3
01036000,2022.0,9,2
01036000,2022.0,10,4
01036000,2022.0,11,6
01036000,2022.0,12,4
01036000,2023.0,1,10
01036000,2023.0,2,3
01036000,2023.0,3,2
01036000,2023.0,4,4
01037000,2022.0,1,3
01037000,2022.0,4,2
01037000,2022.0,6,1
01037000,2022.0,7,1
01037000,2022.0,8,2
01037000,2022.0,9,4
01037000,2022.0,10,3
01037000,2022.0,11,7
01037000,2022.0,12,2
01037000,2023.0,1,2
01037000,2023.0,2,1
01037000,2023.0,3,3
01038000,2022.0,1,3
01038000,2022.0,3,2
01038000,2022.0,4,2
01038000,2022.0,5,5
01038000,2022.0,6,4
